worker_id,worker_quality
2392073,-1
2527235,73
2531356,73
2400287,75
2523170,71
2490406,74
2523178,73
2531376,83
3067913,73
2515001,-1
2523196,73
3063875,73
3080263,73
2539595,74
1286229,82
2523233,73
2383975,85
2531432,73
2424945,77
3067923,73
2375806,77
2523267,73
2375814,85
2498696,82
2498702,84
3072150,73
2523291,91
2523295,73
2474147,75
2375847,97
3072172,71
2408623,95
2416818,80
2523317,73
570740,82
2490564,76
1482954,91
3072209,76
2539730,94
3078862,55
2433238,85
3072219,78
1593330,78
2457826,82
2506980,81
2538193,73
3064041,73
3080428,72
1777901,82
2302198,88
2343159,100
2507001,74
2515204,95
3072266,95
3080470,-1
2359578,82
2375964,-1
3080482,73
2418054,87
3072300,89
2515258,73
2351420,91
2457935,88
2515282,86
2425178,88
2425183,89
2539872,88
180594,89
2351475,89
2425204,82
2318714,87
3072398,73
2335119,85
2515345,73
2539928,73
2515363,74
3064233,78
2539948,-1
3064245,93
2302394,89
2531771,100
2531778,74
2392517,82
2531787,73
2539980,91
2474448,75
2515409,73
2531805,73
2498431,75
3072485,74
2531822,94
2523631,73
2327030,78
2302463,74
2433536,84
2531846,73
2515463,87
2531851,73
2515472,73
3064337,82
3064341,73
2531871,74
3065821,79
2433581,75
2531893,73
3058441,73
3064380,73
3064382,-1
148037,88
2400838,78
2507335,73
1892957,89
2335327,88
2523754,73
3080816,69
2507381,94
2531960,-1
2507388,77
2531970,72
2540173,73
2433689,78
2540186,73
2540188,75
2417318,88
2343591,100
2343601,-1
2543447,78
2523834,74
2523839,77
3064512,73
2327238,93
2438604,96
2351825,95
2482903,78
2515672,73
2523870,82
2523871,84
2540258,75
2531792,74
2474736,87
2417396,86
2433782,92
2409208,84
2401023,76
2384645,74
3064587,73
3080979,73
2515732,73
2376469,76
3072800,100
2392198,84
2532136,78
3064618,-1
2532139,73
2368300,80
2343726,88
3064623,84
2523956,92
2532153,78
3081020,73
2515780,90
2417499,91
2515815,73
2515816,-1
2524012,88
2499437,99
107376,83
2286451,87
2532219,73
2507647,73
2294658,83
885635,85
3064710,88
3064723,-1
2319253,75
2433948,80
3081122,73
3081131,-1
3072944,66
3072968,-1
2524111,73
2540497,85
2384850,84
2360277,79
2520570,55
3061471,73
2499569,98
2515956,75
3064821,-1
3064823,74
2532351,73
2528769,90
3073035,73
3073036,-1
3073039,73
2333528,84
2532370,73
2442263,-1
3064858,80
2532380,74
3081250,73
2352164,88
2524209,73
2384951,93
2540604,77
2507852,73
3056721,70
2344018,83
3064919,73
2532442,73
2409563,90
2458716,87
2409566,89
2540642,73
304235,76
2385006,93
2516079,73
2401400,100
2540666,80
3064956,71
2532480,73
3073159,76
2532493,73
2319504,90
3056795,73
2360476,92
3064997,88
2401448,83
3056814,73
2409649,83
2540724,-1
2376896,-1
2540737,74
2516179,79
2532564,73
2311383,92
3073248,73
2540769,-1
2368738,86
3056876,-1
2499821,77
2524399,73
3056883,-1
2508022,85
2352383,100
2540816,73
2524435,76
2524437,73
3065112,73
2409754,-1
2401564,82
2319648,85
2508074,77
2540844,81
2327853,85
2508078,83
2409778,75
2540861,74
2401598,77
3065151,-1
3056962,-1
3073347,73
3073351,73
2327890,94
3056980,73
1205597,87
2303329,84
3056995,88
2491748,87
2314060,-1
2364989,96
3057008,73
2368894,90
2540934,74
2516362,82
2540946,73
3061315,75
2524566,-1
2532764,-1
2524573,89
2385312,89
2516387,76
3065257,74
2524589,76
2508212,92
2524597,73
3073462,73
2508217,-1
2500037,80
2336208,88
3065297,73
3057109,72
3073496,82
2434531,82
3073508,73
2418151,84
2360810,89
2532844,73
2508274,93
2532864,85
3073541,81
3058604,73
2545240,-1
2344466,84
3073559,85
2294020,-1
2541088,-1
2541092,73
1033774,84
3065393,73
2541106,83
