,proj_id,awards,domain
0,2908089,390.0,7
1,2909696,200.0,7
2,2909401,300.0,7
3,2909378,450.0,7
4,2909457,750.0,9
5,2909391,200.0,7
6,2909411,200.0,6
7,2898285,250.0,7
8,2892334,200.0,7
9,2909355,300.0,7
10,2908220,200.0,7
11,2908835,250.0,7
12,2908405,390.0,7
13,2909574,200.0,7
14,2906513,750.0,9
15,2909282,300.0,7
16,2908900,200.0,7
17,2909375,200.0,7
18,2909222,200.0,7
19,2909354,350.0,7
20,2909367,200.0,7
21,2909528,200.0,7
22,2907331,200.0,7
23,2909312,200.0,5
24,2909288,200.0,7
25,2909330,400.0,7
26,2909177,250.0,7
27,2909105,300.0,7
28,2909568,200.0,7
29,2908278,200.0,7
30,2906345,300.0,7
31,2907820,300.0,7
32,2908916,300.0,7
33,2908982,200.0,7
34,2907917,200.0,7
35,2907700,540.0,10
36,2909181,250.0,7
37,2909291,300.0,7
38,2908987,200.0,3
39,2908793,200.0,7
40,2902933,200.0,7
41,2909007,200.0,7
42,2907134,225.0,7
43,2909310,250.0,7
44,2908854,540.0,10
45,2909246,200.0,7
46,2908862,300.0,7
47,2909245,200.0,7
48,2909515,250.0,7
49,2906265,200.0,7
50,2909221,200.0,7
51,2908915,250.0,7
52,2905902,400.0,7
53,2909211,270.0,7
54,2909206,300.0,7
55,2908768,230.0,7
56,2909178,200.0,7
57,2908677,200.0,7
58,2909169,400.0,7
59,2909302,620.0,3
60,2908598,200.0,7
61,2908670,200.0,7
62,2907768,200.0,7
63,2909145,200.0,7
64,2908898,300.0,7
65,2908855,200.0,7
66,2909112,725.0,7
67,2909142,200.0,7
68,2909343,300.0,7
69,2901982,200.0,7
70,2908798,300.0,7
71,2909040,200.0,7
72,2908799,300.0,7
73,2908821,200.0,7
74,2908789,200.0,5
75,2909295,200.0,7
76,2908879,200.0,7
77,2909106,250.0,7
78,2908560,200.0,10
79,2909094,200.0,7
80,2909056,200.0,10
81,2909082,250.0,7
82,2908678,200.0,7
83,2907089,200.0,7
84,2909077,300.0,7
85,2908766,200.0,7
86,2908034,200.0,7
87,2909060,200.0,7
88,2909061,200.0,7
89,2909026,450.0,5
90,2909011,200.0,6
91,2908999,240.0,7
92,2908407,200.0,7
93,2909132,200.0,7
94,2908590,250.0,7
95,2908998,200.0,7
96,2909168,200.0,7
97,2908952,200.0,7
98,2909072,200.0,7
99,2909067,200.0,7
100,2907921,300.0,7
101,2908612,750.0,9
102,2908890,500.0,7
103,2908607,500.0,9
104,2908947,300.0,7
105,2906985,250.0,9
106,2908763,200.0,7
107,2908536,200.0,7
108,2908172,0.0,7
109,2908975,200.0,7
110,2908769,450.0,9
111,2896669,200.0,7
112,2908743,250.0,9
113,2906481,225.0,7
114,2908950,200.0,7
115,2908079,500.0,10
116,2908941,500.0,7
117,2908283,200.0,7
118,2908624,300.0,7
119,2908901,200.0,7
120,2909062,200.0,7
121,2908754,200.0,7
122,2908936,200.0,7
123,2907645,200.0,7
124,2908368,300.0,7
125,2908175,300.0,7
126,2908861,200.0,7
127,2908016,265.0,7
128,2908762,200.0,7
129,2908751,200.0,7
130,2908406,200.0,7
131,2908451,300.0,7
132,2902523,200.0,7
133,2908748,200.0,7
134,2908809,300.0,7
135,2908848,200.0,7
136,2908792,200.0,7
137,2908673,200.0,7
138,2908954,200.0,7
139,2908827,200.0,7
140,2907666,250.0,7
141,2909027,375.0,7
142,2908807,400.0,3
143,2908512,250.0,7
144,2908810,225.0,7
145,2908707,300.0,7
146,2908419,300.0,7
147,2908619,245.0,5
148,2908009,200.0,7
149,2908773,250.0,9
150,2908031,200.0,7
151,2908622,200.0,7
152,2908069,200.0,7
153,2908098,200.0,7
154,2908460,200.0,7
155,2908343,200.0,7
156,2908243,200.0,7
157,2908453,200.0,7
158,2908760,200.0,7
159,2908709,400.0,5
160,2908627,400.0,7
161,2908692,300.0,7
162,2908611,200.0,7
163,2907847,285.0,7
164,2908558,200.0,7
165,2908688,300.0,7
166,2908681,500.0,3
167,2908679,200.0,7
168,2908206,200.0,7
169,2908350,200.0,7
170,2908530,200.0,7
171,2908675,200.0,7
172,2908302,850.0,2
173,2908190,200.0,7
174,2908641,275.0,7
175,2908168,475.0,9
176,2908588,480.0,10
177,2908667,200.0,7
178,2906714,200.0,7
179,2908509,250.0,7
180,2907920,200.0,7
181,2908010,200.0,7
182,2908718,500.0,7
183,2908725,200.0,7
184,2908466,200.0,7
185,2906433,200.0,7
186,2908470,200.0,7
187,2908394,200.0,7
