,worker,domain,quality
0,2527235,7,0.73
1,2531356,7,0.73
2,2400287,7,0.75
3,2523170,10,0.71
4,2490406,7,0.74
5,2523178,7,0.73
6,2531376,7,0.83
7,3067913,3,0.73
8,2523196,7,0.73
9,3063875,7,0.73
10,3080263,7,0.73
11,2539595,7,0.74
12,1286229,7,0.82
13,2523233,7,0.73
14,2383975,7,0.85
15,2531432,7,0.73
16,2424945,7,0.77
17,3067923,5,0.73
18,2375806,10,0.77
19,2523267,7,0.73
20,2375814,3,0.85
21,2498696,7,0.82
22,2498702,7,0.84
23,3072150,7,0.73
24,2523291,7,0.91
25,2523295,7,0.73
26,2474147,7,0.75
27,2375847,7,0.97
28,3072172,7,0.71
29,2408623,7,0.95
30,2416818,7,0.8
31,2523317,7,0.73
32,570740,7,0.82
33,2490564,10,0.76
34,1482954,7,0.91
35,3072209,7,0.76
36,2539730,7,0.94
37,3078862,7,0.55
38,2433238,7,0.85
39,3072219,7,0.78
40,1593330,7,0.78
41,2457826,7,0.82
42,2506980,7,0.81
43,2538193,10,0.73
44,3064041,7,0.73
45,3080428,7,0.72
46,1777901,7,0.82
47,2302198,7,0.88
48,2343159,7,1.0
49,2507001,10,0.74
50,2515204,7,0.95
51,3072266,3,0.95
52,2359578,7,0.82
53,3080482,7,0.73
54,2418054,7,0.87
55,3072300,7,0.89
56,2515258,7,0.73
57,2351420,7,0.91
58,2457935,7,0.88
59,2515282,7,0.86
60,2425178,7,0.88
61,2425183,10,0.89
62,2539872,7,0.88
63,180594,7,0.89
64,2351475,7,0.89
65,2425204,7,0.82
66,2318714,7,0.87
67,3072398,7,0.73
68,2335119,7,0.85
69,2515345,9,0.73
70,2539928,7,0.73
71,2515363,7,0.74
72,3064233,7,0.78
73,3064245,9,0.93
74,2302394,7,0.89
75,2531771,5,1.0
76,2531778,7,0.74
77,2392517,7,0.82
78,2531787,7,0.73
79,2539980,7,0.91
80,2474448,10,0.75
81,2515409,7,0.73
82,2531805,10,0.73
83,2498431,7,0.75
84,3072485,7,0.74
85,2531822,7,0.94
86,2523631,7,0.73
87,2327030,7,0.78
88,2302463,7,0.74
89,2433536,7,0.84
90,2531846,7,0.73
91,2515463,7,0.87
92,2531851,7,0.73
93,2515472,10,0.73
94,3064337,7,0.82
95,3064341,7,0.73
96,2531871,7,0.74
97,3065821,7,0.79
98,2433581,7,0.75
99,2531893,2,0.73
100,3058441,7,0.73
101,3064380,9,0.73
102,148037,7,0.88
103,2400838,7,0.78
104,2507335,7,0.73
105,1892957,3,0.89
106,2335327,7,0.88
107,2523754,7,0.73
108,3080816,7,0.69
109,2507381,7,0.94
110,2507388,7,0.77
111,2531970,7,0.72
112,2540173,7,0.73
113,2433689,7,0.78
114,2540186,7,0.73
115,2540188,7,0.75
116,2417318,7,0.88
117,2343591,5,1.0
118,2543447,7,0.78
119,2523834,7,0.74
120,2523839,7,0.77
121,3064512,9,0.73
122,2327238,7,0.93
123,2438604,7,0.96
124,2351825,7,0.95
125,2482903,7,0.78
126,2515672,7,0.73
127,2523870,3,0.82
128,2523871,7,0.84
129,2540258,7,0.75
130,2531792,7,0.74
131,2474736,7,0.87
132,2417396,7,0.86
133,2433782,7,0.92
134,2409208,5,0.84
135,2401023,7,0.76
136,2384645,7,0.74
137,3064587,7,0.73
138,3080979,9,0.73
139,2515732,7,0.73
140,2376469,7,0.76
